Date,BND,SPY,TSLA
2016-11-11,1580900,100552700,59827500
2016-11-14,2079400,94580000,98283000
2016-11-15,2098100,91652600,58530000
2016-11-16,1629100,65617700,51516000
2016-11-17,1762200,69797200,73306500
2016-11-18,1561600,86265800,78154500
2016-11-21,2074000,72402600,65415000
2016-11-22,1866900,67429000,84051000
2016-11-23,1642900,56620200,73378500
2016-11-25,942700,37872300,35491500
2016-11-28,1352600,76572500,67938000
2016-11-29,1583600,69886700,66589500
2016-11-30,2372200,113291800,53206500
2016-12-01,2998200,79040500,76896000
2016-12-02,1951400,74840300,60634500
2016-12-05,2479500,67837800,61083000
2016-12-06,2337800,59877400,50874000
2016-12-07,4273100,110738100,81928500
2016-12-08,2323000,99714400,47911500
2016-12-09,2697000,88005800,40837500
2016-12-12,3464800,102016100,36583500
2016-12-13,4372500,110477500,102358500
2016-12-14,2971300,142501800,62263500
2016-12-15,2651200,124972600,48294000
2016-12-16,3080100,156420200,56953500
2016-12-19,2936800,90341100,52321500
2016-12-20,5853400,89838800,70336500
2016-12-21,2752300,67909000,78114000
2016-12-22,2851500,56219100,46666500
2016-12-23,2096800,36697800,70057500
2016-12-27,2178300,42672500,88735500
2016-12-28,4097100,64095000,56737500
2016-12-29,3115800,48696100,60675000
2016-12-30,2338200,108998300,69639000
2017-01-03,3312600,91366500,88849500
2017-01-04,3095000,78744400,168202500
2017-01-05,3890400,78379000,88675500
2017-01-06,2287900,71559900,82918500
2017-01-09,1785900,46939700,59692500
2017-01-10,2250700,63771900,54900000
2017-01-11,2327600,74650000,54762000
2017-01-12,2981200,72113200,56853000
2017-01-13,2425000,62717900,91395000
2017-01-17,2188600,61240800,69262500
2017-01-18,1981700,54793300,56535000
2017-01-19,2121300,66608800,115984500
2017-01-20,1836300,129168600,63064500
2017-01-23,1490200,75061600,93943500
2017-01-24,2136000,95555300,74482500
2017-01-25,1897400,84437700,77139000
2017-01-26,2381600,59970700,47281500
2017-01-27,1768700,59711100,47494500
2017-01-30,2699500,79737300,57016500
2017-01-31,2857600,75880800,61741500
2017-02-01,2313400,79117700,59382000
2017-02-02,1745400,69657600,37497000
2017-02-03,2398900,80563200,32800500
2017-02-06,3238100,57790100,53437500
2017-02-07,5239300,57931200,63672000
2017-02-08,2172700,51566200,58995000
2017-02-09,3410400,65955200,117303000
2017-02-10,2011900,66015900,54295500
2017-02-13,1863000,55182100,105444000
2017-02-14,2178300,71109000,110178000
2017-02-15,1503700,86785800,74218500
2017-02-16,3290700,84722400,106159500
2017-02-17,1520000,77204100,93856500
2017-02-21,1811300,88946100,85150500
2017-02-22,1965800,62115200,131325000
2017-02-23,1590500,74615900,223728000
2017-02-24,1703800,82381600,122574000
2017-02-27,2005600,56515400,171912000
2017-02-28,1975700,96961900,91171500
2017-03-01,2954300,149158200,72142500
2017-03-02,2077300,70246000,50277000
2017-03-03,2242600,81974300,43791000
2017-03-06,1880900,55391500,50332500
2017-03-07,1644800,65103700,51892500
2017-03-08,2172700,78168800,55878000
2017-03-09,2761300,90683900,58189500
2017-03-10,3430900,81991700,45994500
2017-03-13,2164600,57256800,45339000
2017-03-14,3620700,59880800,113976000
2017-03-15,2281200,96081800,79962000
2017-03-16,2617800,78344000,106983000
2017-03-17,1293000,89002100,97462500
2017-03-20,1510900,52537000,54214500
2017-03-21,2079000,131809300,103629000
2017-03-22,1339600,97569200,60889500
2017-03-23,1790300,100410300,49803000
2017-03-24,3736700,112504900,84709500
2017-03-27,1870300,87454500,93462000
2017-03-28,1990800,93483900,119814000
2017-03-29,1356800,61950400,55143000
2017-03-30,1403500,56737900,62226000
2017-03-31,2399400,73733100,49419000
2017-04-03,2142600,85546500,208329000
2017-04-04,1983200,56466200,152019000
2017-04-05,2050500,108800600,118213500
2017-04-06,1855300,69135800,82809000
2017-04-07,1608200,74412300,68694000
2017-04-10,1481700,67615300,114967500
2017-04-11,1340500,88045300,85869000
2017-04-12,1801600,81864400,90760500
2017-04-13,1393500,92880400,139269000
2017-04-17,1494600,68405400,62080500
2017-04-18,1782800,83225800,45535500
2017-04-19,1437000,68699900,58470000
2017-04-20,1425700,92572200,92241000
2017-04-21,1241700,110389800,67647000
2017-04-24,2665700,119209900,76252500
2017-04-25,1670900,76698300,101065500
2017-04-26,1876200,84702500,70425000
2017-04-27,1543100,57410300,52029000
2017-04-28,2100000,63532800,67582500
2017-05-01,1478100,66882500,132444000
2017-05-02,1664300,57375700,80742000
2017-05-03,2948400,73137700,107001000
2017-05-04,1216100,61462700,212280000
2017-05-05,1658900,62001300,122659500
2017-05-08,1832300,48385700,105097500
2017-05-09,2532200,51363200,145147500
2017-05-10,1845500,54293800,86124000
2017-05-11,1421500,62358300,71307000
2017-05-12,1510300,53912700,61824000
2017-05-15,1823500,61918900,114330000
2017-05-16,1760600,51241800,62287500
2017-05-17,1987100,172174100,100678500
2017-05-18,1881800,107047700,84807000
2017-05-19,1394700,115011400,70314000
2017-05-22,1570700,61010600,64938000
2017-05-23,1679500,48341700,64776000
2017-05-24,1568700,46927700,75499500
2017-05-25,1108400,64071700,75210000
2017-05-26,952700,46629900,117033000
2017-05-30,1283300,35201900,116743500
2017-05-31,2290100,91796000,149451000
2017-06-01,1710900,68962000,114120000
2017-06-02,1795200,88666100,83853000
2017-06-05,1916200,44698800,101766000
2017-06-06,3262500,50375400,166302000
2017-06-07,1743500,54144300,140970000
2017-06-08,1827800,65950700,135922500
2017-06-09,1404500,132256400,258921000
2017-06-12,2053900,86108100,157765500
2017-06-13,1515100,60067000,177118500
2017-06-14,2472800,78602300,192276000
2017-06-15,2063400,66464900,156397500
2017-06-16,1376200,84553100,100965000
2017-06-19,1776500,65123800,98239500
2017-06-20,1864100,56906400,111580500
2017-06-21,1249600,55977600,73848000
2017-06-22,1195100,44148100,112947000
2017-06-23,1356000,66986800,96687000
2017-06-26,4665500,56700500,99061500
2017-06-27,2374200,82247700,104946000
2017-06-28,1604300,70042600,94537500
2017-06-29,1548100,106949700,123315000
2017-06-30,1978100,86820700,87727500
2017-07-03,1092500,39153800,94581000
2017-07-05,1917100,54427600,255700500
2017-07-06,1827500,65400800,289867500
2017-07-07,2441500,57972300,212653500
2017-07-10,2228800,36663300,207313500
